sal,grade,patco,major,age,male,vet,handvet,hand,yos,edyrs,promo,exit,supmgr,race,minority,grade4
62958,14,1,BUSAD,32,0,0,0,0,10,16,1,0,1,5,0,4
41596,11,2,EDUC,47,0,0,0,0,17,16,0,0,0,5,0,3
25672,5,4,,74,0,0,0,0,23,12,,1,0,5,0,2
26227,7,3,,41,0,0,0,0,14,12,0,0,0,5,0,2
49345,12,1,,46,0,0,0,0,26,12,0,0,0,5,0,3
20166,5,4,,46,0,0,0,0,12,13,0,0,0,5,0,2
51419,12,2,,38,0,0,0,0,13,14,0,0,0,5,0,3
54941,13,2,,46,0,0,0,0,28,13,0,0,0,5,0,4
26045,7,3,,34,0,0,0,0,7,12,1,0,0,5,0,2
34755,9,2,,54,0,0,0,0,22,12,0,0,0,5,0,3
22208,4,4,,72,0,1,0,0,23,12,0,0,0,5,0,1
24585,6,5,,31,0,0,0,0,1,12,,1,0,5,0,2
23946,5,3,,61,0,0,0,1,22,12,0,0,0,5,0,2
74491,15,2,,48,0,0,0,0,20,14,0,0,1,5,0,4
17372,3,4,,55,0,0,0,1,7,12,0,0,0,5,0,1
21663,5,4,,49,0,0,0,0,9,12,0,0,0,5,0,2
51612,13,2,,48,0,0,0,0,15,13,0,0,1,5,0,4
25746,6,4,,34,0,0,0,0,16,12,0,0,0,5,0,2
28882,7,2,,40,0,0,0,0,22,12,0,0,0,5,0,2
55325,13,1,BUSAD,37,0,0,0,0,18,16,0,0,0,5,0,4
42003,12,2,BUSAD,29,0,0,0,0,5,16,0,0,0,5,0,3
54941,13,2,,52,0,0,0,0,34,12,0,0,1,5,0,4
25760,7,3,,52,0,0,0,0,14,12,0,0,1,5,0,2
59517,13,2,EDUC,43,0,0,0,0,14,16,0,0,1,5,0,4
30895,9,2,,28,0,0,0,0,9,12,0,0,0,5,0,3
46202,12,1,EDUC,33,0,0,0,0,11,16,0,0,0,5,0,3
53201,12,2,SOC,44,0,0,0,1,22,16,0,0,0,5,0,3
44802,12,1,BUSAD,50,0,0,0,0,4,18,0,0,0,5,0,3
46202,12,2,,30,0,0,0,0,11,12,1,0,0,5,0,3
17525,3,5,,26,0,0,0,0,5,12,1,0,0,5,0,1
54601,12,2,,46,0,0,0,0,28,12,0,0,0,5,0,3
30779,7,4,,47,0,0,0,0,29,12,0,0,0,5,0,2
57208,13,2,LIBSC,39,0,0,0,0,15,18,0,0,0,5,0,4
36214,11,1,HEALT,30,0,0,0,0,2,16,1,0,0,5,0,3
32825,9,2,,43,0,0,0,0,23,12,0,0,0,5,0,3
51612,13,2,SOC,36,0,0,0,0,12,16,0,0,1,5,0,4
24576,5,4,,40,0,0,0,0,21,12,1,0,0,5,0,2
47602,12,1,,32,0,0,0,0,13,12,0,0,0,5,0,3
21395,5,4,,34,0,1,1,0,2,13,0,0,0,5,0,2
61172,14,2,PUBAF,40,0,0,0,0,8,18,,1,1,5,0,4
46202,12,1,PHYSI,33,0,0,0,0,9,16,1,0,0,5,0,3
106106,16,2,BUSAD,50,0,0,0,0,25,18,0,0,1,5,0,4
64928,13,1,BUSAD,32,0,0,0,0,1,16,1,0,0,5,0,4
20761,4,4,,38,0,0,0,0,6,12,0,0,0,5,0,1
28964,9,2,LAW,27,0,0,0,0,1,18,1,0,0,5,0,3
28412,7,3,,52,0,0,0,0,15,12,0,0,0,5,0,2
30596,8,3,,52,0,0,0,0,18,12,0,0,0,5,0,2
22486,6,4,,51,0,0,0,0,2,13,0,0,0,5,0,2
45063,11,2,COMPU,44,0,0,0,0,22,14,0,0,0,5,0,3
46202,12,1,ARCHI,32,0,0,0,0,6,16,1,0,0,5,0,3
64928,13,2,LANG,47,0,0,0,1,26,16,0,0,1,5,0,4
23883,6,2,,37,0,0,0,0,10,12,0,0,0,5,0,2
37382,11,2,,40,0,0,0,0,15,12,0,0,0,5,0,3
31512,9,2,BUSAD,32,0,0,0,0,10,16,0,0,0,5,0,3
29602,9,2,PSYCH,25,0,0,0,0,3,16,,1,0,5,0,3
38551,11,2,,53,0,0,0,0,34,14,0,0,0,5,0,3
29662,7,3,,55,0,0,0,0,32,12,0,0,0,5,0,2
47873,12,1,HEALT,41,0,0,0,0,9,18,0,0,0,5,0,3
47873,12,1,,44,0,0,0,0,22,12,0,0,1,5,0,3
28078,8,3,,38,0,1,0,0,10,15,0,0,0,5,0,2
23167,6,4,,28,0,0,0,0,3,12,1,0,0,5,0,2
38551,11,2,,36,0,0,0,0,18,12,0,0,0,5,0,3
31126,8,3,,42,0,0,0,0,16,12,0,0,0,5,0,2
24199,7,3,,51,0,0,0,0,4,12,,1,0,5,0,2
64845,14,1,ENGR,39,0,0,0,0,11,16,0,0,0,5,0,4
36973,11,2,,54,0,0,0,0,17,12,0,0,0,5,0,3
66894,14,2,BUSAD,57,0,0,0,0,32,16,0,0,1,5,0,4
